location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Amistad Dual Language School,M311,P.S./I.S. 176 - MANHATTAN,M176,4862 BROADWAY MANHATTAN 10034,Yes,No,No,,,,
Professor Juan Bosch Public School,M178,P.S. 178 - MANHATTAN,M178,12-18 ELLWOOD STREET MANHATTAN 10040,Yes,No,No,,,,
P.S. 180 Hugo Newman,M180,P.S. 180 - MANHATTAN,M180,370 WEST 120TH STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,50,
P.S. 183 Robert L. Stevenson,M183,P.S. 183 - MANHATTAN,M183,419 EAST  66 STREET MANHATTAN 10065,Yes,No,No,,,,
P.S. 185 - The Early Childhood Discovery and Design Magnet School,M185,P.S. 185 (TANDEM M208) - MANHATTAN,M185,20 WEST 112 STREET MANHATTAN 10026,Yes,No,No,,,,
Harlem Link Charter School,M329,P.S. 185 (TANDEM M208) - MANHATTAN,M185,20 WEST 112 STREET MANHATTAN 10026,Yes,No,No,,,,
P.S./I.S. 187 Hudson Cliffs,M187,P.S./I.S. 187 - MANHATTAN,M187,349 CABRINI BOULEVARD MANHATTAN 10040,Yes,"Yes, in 2002",Yes,2005,0,21,
P.S. M094,M094,P.S. 188 - MANHATTAN,M188,442 EAST HOUSTON STREET NEW YORK 10002,Yes,"Yes, in 2002",Yes,2004,0,12,
P.S. 188 The Island School,M188,P.S. 188 - MANHATTAN,M188,442 EAST HOUSTON STREET NEW YORK 10002,Yes,"Yes, in 2002",Yes,2004,0,12,
Girls Preparatory Charter School of New York,M330,P.S. 188 - MANHATTAN,M188,442 EAST HOUSTON STREET NEW YORK 10002,Yes,"Yes, in 2002",Yes,2004,0,12,
P.S. 189,M189,P.S. 189 - MANHATTAN,M189,2580 AMSTERDAM AVENUE MANHATTAN 10040,Yes,No,Yes,,,,
