location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
BNOS YAKOV OF BORO PARK,KAOA,YESHIVA KEHILATH YAKOV,KAOA,1402 40 STREET BROOKLYN 11218,Yes,No,N/A,,,,
Yeshiva Ketana Of Bensonhurst,KAOE,YESHIVA KEHILATH YAKOV,KAOA,1402 40 STREET BROOKLYN 11218,Yes,No,N/A,,,,
Yeshiva Headstart 40th Street,KCID,YESHIVA KEHILATH YAKOV,KAOA,1402 40 STREET BROOKLYN 11218,Yes,No,N/A,,,,
YESHIVAH OF FLATBUSH ELEMENTARY SCHOOL,KAOP,YESHIVA OF FLATBUSH,KAOP,919 EAST 10TH STREET BROOKLYN 11230,,,,,,,Information to come
Universal Pre-K C.B.O.,K72A,YESHIVA OF FLATBUSH,KAOP,919 EAST 10TH STREET BROOKLYN 11230,,,,,,,Information to come
Yeshiva Of Kings Bay,KAOQ,YESHIVA OF KINGS BAY,KAOQ,2611 AVENUE Z BROOKLYN 11235,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,YESHIVA OF KINGS BAY,KAOQ,2611 AVENUE Z BROOKLYN 11235,,,,,,,Information to come
CONGREGATION OHR SHRAGA D'VERETZKY,KAOV,YESHIVA OHR SHRAGA VERETZKY,KAOV,1102 AVENUE L BROOKLYN 11230,,,,,,,Information to come
Universal Pre-K C.B.O.,K72A,YESHIVA OHR SHRAGA VERETZKY,KAOV,1102 AVENUE L BROOKLYN 11230,,,,,,,Information to come
SHAARE TORAH SCHOOL,KAPB,"YESHIVA SHAARE TORAH, INC.",KAPB,222 OCEAN PARKWAY BROOKLYN 11218,,,,,,,Information to come
Universal Pre-K C.B.O.,K715,"YESHIVA SHAARE TORAH, INC.",KAPB,222 OCEAN PARKWAY BROOKLYN 11218,,,,,,,Information to come
SHAARE TORAH SCHOOL (BOYS K-2),KAUG,"YESHIVA SHAARE TORAH, INC.",KAPB,222 OCEAN PARKWAY BROOKLYN 11218,,,,,,,Information to come
Universal Pre-K C.B.O.,K720,YESHIVA SHAAREI,KAPC,1774 58 STREET BROOKLYN 11204,Yes,No,N/A,,,,
Talmud Torah Ohr Moshe,KAZC,YESHIVA SHAAREI,KAPC,1774 58 STREET BROOKLYN 11204,Yes,No,N/A,,,,
BAbove 29,KBJM,YESHIVA SHAAREI,KAPC,1774 58 STREET BROOKLYN 11204,Yes,No,N/A,,,,
Yeshiva Shaarei,KAPC,YESHIVA SHAAREI,KAPC,1774 58 STREET BROOKLYN 11204,Yes,No,N/A,,,,
YESHIVA TORAS EMES KAMENITZ,KAPM,YESHIVA TORAS EMES,KAPM,1904-10 AVENUE N BROOKLYN 11230,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,YESHIVA TORAS EMES,KAPM,1904-10 AVENUE N BROOKLYN 11230,,,,,,,Information to come
TALMUD TORAH OF CROWN HEIGHTS YESHIVA,KAPR,YESHIVAH OF CROWN HEIGHTS,KAPR,6363 AVENUE U BROOKLYN 11234,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,YESHIVAH OF CROWN HEIGHTS,KAPR,6363 AVENUE U BROOKLYN 11234,,,,,,,Information to come
Brooklyn Excelsior Charter School,K731,BROOKLYN EXCELSIOR CHARTER,KAQX,856 QUINCY STREET BROOKLYN 11221,,,,,,,Charter managed facility. More information to come.
Cooper Park Child Care Center,KARE,COOPER PARK CHILD CARE CENTER,KARE,292 FROST STREET BROOKLYN 11222,Yes,No,N/A,,,,
Cooper Park Child Care Center,KBJF,COOPER PARK CHILD CARE CENTER,KARE,292 FROST STREET BROOKLYN 11222,Yes,No,N/A,,,,
